order_id,account_id,bank_to,account_to,amount,k_symbol
29514,72,OP,43079012,2923,RENTAL
29515,72,EF,69338589,7109,MANAGEMENT
29516,72,ST,8297068,2286,
29517,73,CD,67077487,6061,MANAGEMENT
29522,75,IJ,74818038,3369,MANAGEMENT
29523,76,MN,98325132,5208,MANAGEMENT
29524,77,ST,28454154,1709,RENTAL
29525,78,WX,32111394,9039,MANAGEMENT
29526,79,CD,15471804,2788,MANAGEMENT
29527,80,IJ,85687774,2252,MANAGEMENT
29528,81,QR,18026441,1765,MANAGEMENT
29529,81,MN,28429049,62,
29530,81,GH,62443947,229,INSURANCE
29531,83,AB,26468819,2210,MANAGEMENT
29532,83,EF,41590857,3940,
29533,84,ST,33353132,1709,RENTAL
29534,84,ST,18454540,12452,MANAGEMENT
29535,85,IJ,65366345,3831,MANAGEMENT
29536,85,OP,81823444,1792,RENTAL
29537,86,WX,36292475,1002,MANAGEMENT
29538,86,MN,48764252,1160,
29541,88,ST,72993069,2268,MANAGEMENT
29542,90,ST,68375611,2774,MANAGEMENT
29543,90,UV,90134667,2375,
29544,90,MN,89044069,4372,INSURANCE
29545,90,YZ,2028567,361,
29554,96,CD,62272125,4422,RENTAL
29555,96,QR,83610647,908,MANAGEMENT
29556,96,WX,41707503,2140,
29557,96,EF,49409562,46,INSURANCE
29558,96,EF,66311460,644,
29559,97,ST,69820374,1436,MANAGEMENT
29560,97,CD,33796209,2411,
29561,97,ST,83123987,3,INSURANCE
29562,97,CD,94469666,15,
29563,97,MN,9693319,8573,LOAN
29564,98,CD,94078754,1569,MANAGEMENT
29565,98,WX,95535426,749,MANAGEMENT
29566,99,CD,38411343,4503,MANAGEMENT
29567,99,EF,26847303,4682,
29568,100,UV,6381905,598,MANAGEMENT
29569,100,GH,16341108,7329,
29570,101,KL,10926431,8037,MANAGEMENT
29571,101,GH,26152324,855,
29572,102,EF,24946403,7370,LOAN
29573,102,KL,63927906,3373,MANAGEMENT
29574,102,UV,97521966,377,
29575,103,MN,2646291,7370,LOAN
29576,104,MN,82782172,578,MANAGEMENT
29577,104,ST,8965999,1464,
29578,105,UV,58251345,7348,LOAN
29579,106,WX,46916538,3735,MANAGEMENT
29580,107,IJ,67744958,2015,MANAGEMENT
29581,107,IJ,9999049,1580,
29582,107,QR,80934089,959,INSURANCE
29583,108,CD,62673318,4803,MANAGEMENT
29584,110,OP,24390584,3050,MANAGEMENT
29585,110,YZ,18149984,98,
29586,110,ST,14772266,4516,LOAN
29589,112,AB,41812431,2051,MANAGEMENT
29590,113,GH,11191487,3146,MANAGEMENT
29591,114,QR,78667527,1590,MANAGEMENT
29592,114,MN,90660798,533,MANAGEMENT
29593,115,EF,51975733,5110,MANAGEMENT
29594,116,KL,99229424,5529,MANAGEMENT
29595,116,ST,16828024,927,RENTAL
29596,117,CD,59419953,2329,MANAGEMENT
29597,118,IJ,51605445,2449,MANAGEMENT
29598,119,ST,21662587,8252,MANAGEMENT
29599,120,YZ,74934506,1899,RENTAL
29600,120,ST,36501592,3965,MANAGEMENT
29601,121,YZ,81156724,794,MANAGEMENT
29602,121,UV,93935125,929,
29603,121,MN,91729092,393,INSURANCE
29604,123,KL,97764080,3016,MANAGEMENT
29605,124,IJ,11366123,447,MANAGEMENT
29606,124,OP,51247948,575,
29607,124,OP,34663748,971,INSURANCE
29608,125,IJ,14166999,4422,RENTAL
29609,126,WX,62923598,7384,MANAGEMENT
29610,127,YZ,11707830,2242,MANAGEMENT
29611,129,IJ,69084489,3417,MANAGEMENT
29612,130,IJ,2152455,3969,MANAGEMENT
29613,131,UV,29374742,6904,MANAGEMENT
29614,132,WX,80542558,7370,LOAN
29615,133,OP,90329002,3094,RENTAL
29616,133,EF,45379865,4943,MANAGEMENT
29617,133,CD,30067122,5123,
29618,136,MN,78733890,2932,MANAGEMENT
29619,137,GH,71138578,3464,MANAGEMENT
29620,137,UV,34738314,787,
29621,141,KL,30588215,3017,RENTAL
29622,141,KL,65986662,3462,MANAGEMENT
29623,141,WX,71174192,1791,
29624,141,GH,86448645,6716,INSURANCE
29625,142,YZ,23734498,1845,MANAGEMENT
29626,143,YZ,81564402,2272,MANAGEMENT
29627,145,GH,81546359,4815,MANAGEMENT
29628,146,AB,76565843,3823,MANAGEMENT
29631,148,KL,29826498,487,MANAGEMENT
29632,148,GH,99004148,89,
29633,148,QR,85938459,1736,INSURANCE
29634,151,QR,2754378,411,MANAGEMENT
29635,151,KL,77260404,2668,
29636,152,OP,21928644,426,MANAGEMENT
29637,152,OP,16610890,2993,
29638,153,UV,6886673,4544,MANAGEMENT
29639,154,MN,1314569,3891,MANAGEMENT
29640,155,KL,13971645,2988,MANAGEMENT
29641,156,QR,93965810,2030,MANAGEMENT
29642,157,AB,14697784,3991,MANAGEMENT
29643,158,ST,61129736,3420,MANAGEMENT
29644,159,GH,1882386,8694,MANAGEMENT
29645,160,QR,52787989,2374,MANAGEMENT
29646,160,ST,8854127,5552,
29647,161,GH,17877823,1389,MANAGEMENT
29648,161,WX,62378322,892,MANAGEMENT
29649,162,GH,1325488,3458,MANAGEMENT
29650,163,UV,86180990,3116,MANAGEMENT
29651,163,IJ,8512616,612,MANAGEMENT
29652,165,OP,71082353,1788,MANAGEMENT
29653,166,QR,26919090,3044,MANAGEMENT
29654,168,WX,47454333,2013,MANAGEMENT
29655,169,IJ,71273207,4975,MANAGEMENT
29656,169,KL,15956706,696,RENTAL
29657,171,UV,5356938,3486,MANAGEMENT
29658,172,OP,11598539,4221,MANAGEMENT
29659,173,KL,95605074,6256,MANAGEMENT
29660,173,KL,26238835,1428,
29661,173,CD,85405385,735,INSURANCE
29662,173,CD,50065535,189,
29663,173,UV,38819456,8734,LOAN
29664,174,QR,73784321,2139,MANAGEMENT
29667,176,GH,53236597,2288,LOAN
29668,176,AB,55640232,4564,MANAGEMENT
29669,176,OP,90734010,36,
29670,176,QR,11736327,97,INSURANCE
29671,178,OP,16301811,1482,MANAGEMENT
29672,178,ST,1946038,505,
29673,179,UV,16450244,7615,MANAGEMENT
29674,179,IJ,47684144,1066,
29675,179,AB,11941713,378,INSURANCE
29676,179,OP,39081686,4608,
29677,181,KL,66975450,6780,MANAGEMENT
29678,183,AB,5552345,5202,MANAGEMENT
29679,183,GH,85986530,752,
29680,184,IJ,65986150,1623,RENTAL
29681,185,IJ,14592427,6526,MANAGEMENT
29682,186,GH,83964973,6862,MANAGEMENT
29683,187,UV,39898049,2798,MANAGEMENT
29684,188,AB,26629168,7426,MANAGEMENT
29685,189,GH,54808670,4244,MANAGEMENT
29686,189,OP,28932172,750,
29687,189,MN,76972424,360,INSURANCE
29688,190,YZ,24279922,4519,MANAGEMENT
29689,190,WX,3125066,3233,
29690,190,WX,5304331,42,INSURANCE
29691,190,YZ,50605297,1316,
29692,191,YZ,89219265,4421,RENTAL
29693,192,IJ,70552640,3583,MANAGEMENT
29694,193,QR,21547550,7110,MANAGEMENT
29695,194,CD,39405787,2648,MANAGEMENT
29696,195,AB,37868559,6260,MANAGEMENT
29697,196,MN,84787642,1270,MANAGEMENT
29698,196,AB,90261184,4417,
29699,196,KL,30200135,2554,INSURANCE
29700,196,IJ,21173686,385,
29701,197,EF,67286312,9454,MANAGEMENT
29702,198,MN,67775189,700,MANAGEMENT
29703,198,QR,64557379,2166,MANAGEMENT
29704,199,CD,15875643,1984,MANAGEMENT
29705,201,OP,34061867,9584,MANAGEMENT
29711,204,UV,59721839,1950,MANAGEMENT
29712,205,AB,99149345,4297,MANAGEMENT
29713,206,KL,75771987,2902,MANAGEMENT
29714,207,KL,71656483,403,MANAGEMENT
29715,207,GH,4786676,10,
29716,207,AB,83722591,2726,INSURANCE
29717,208,AB,9118587,4148,MANAGEMENT
29718,208,CD,77937751,1767,
29719,208,UV,98481541,986,INSURANCE
29720,208,OP,28241002,545,
29721,209,QR,17469549,483,MANAGEMENT
29722,209,EF,52778792,41,
29723,209,KL,1601225,1796,INSURANCE
29724,210,IJ,24753552,7534,MANAGEMENT
29725,211,IJ,2884138,2394,RENTAL
29726,212,EF,58462047,13841,MANAGEMENT
29727,213,EF,4553950,5625,MANAGEMENT
29728,214,EF,26426023,2097,MANAGEMENT
29729,215,MN,65896379,2121,MANAGEMENT
29730,216,KL,85333066,1486,MANAGEMENT
29731,216,GH,38205874,1513,MANAGEMENT
29732,217,CD,23454666,3459,MANAGEMENT
29733,217,YZ,55710929,653,RENTAL
29734,218,IJ,10956299,3182,RENTAL
29735,219,GH,77167427,2336,MANAGEMENT
29736,219,OP,33257001,2988,
29737,220,QR,26923066,3095,MANAGEMENT
29738,221,CD,98228793,7896,MANAGEMENT
29739,222,WX,52384513,3441,RENTAL
29740,224,EF,63218277,3503,MANAGEMENT
29741,225,MN,74407583,3383,MANAGEMENT
29742,225,KL,93545496,2,
29743,226,UV,29971635,8928,MANAGEMENT
29744,226,GH,39824432,9112,LOAN
29745,227,GH,28972292,9381,MANAGEMENT
29746,228,QR,78199761,1946,MANAGEMENT
29747,228,EF,26569271,2158,
29748,229,ST,55160808,2505,MANAGEMENT
29749,230,ST,66906124,5615,MANAGEMENT
29750,230,AB,95935326,1527,
29751,230,KL,3922403,1058,INSURANCE
29752,231,WX,51732343,2073,MANAGEMENT
29753,232,KL,62672704,3643,MANAGEMENT
29755,234,MN,20655334,2809,MANAGEMENT
29756,235,MN,79934978,895,MANAGEMENT
29757,235,KL,52539473,1321,
29758,237,AB,13233763,152,MANAGEMENT
29759,237,AB,58324587,1788,
29760,238,IJ,39059901,2234,MANAGEMENT
29761,239,CD,96977406,1042,MANAGEMENT
29762,239,MN,30218410,5995,
29763,239,IJ,47741246,152,INSURANCE
29764,240,WX,50178039,9621,MANAGEMENT
29765,240,OP,22710114,1050,RENTAL
29766,241,QR,28285497,1344,MANAGEMENT
29767,241,MN,27381342,632,
29768,241,EF,14364838,610,INSURANCE
29769,242,WX,23104387,1062,MANAGEMENT
29770,242,WX,62032568,2977,
29771,243,KL,55282419,1041,RENTAL
29772,243,GH,73269855,3067,MANAGEMENT
29773,244,MN,74832015,2190,MANAGEMENT
29774,244,OP,78948193,226,
29775,244,GH,7008588,232,INSURANCE
29776,246,YZ,8283996,1970,MANAGEMENT
29780,248,AB,15760773,2485,RENTAL
29781,249,OP,26255619,5618,MANAGEMENT
29782,249,GH,99770348,1876,
29783,250,WX,24246722,3066,MANAGEMENT
29784,251,AB,92959981,3059,MANAGEMENT
29785,252,CD,91842740,1767,MANAGEMENT
29788,255,WX,88934081,5323,MANAGEMENT
29789,257,ST,61510014,3817,RENTAL
29790,257,GH,22533124,14166,MANAGEMENT
29791,258,KL,37360865,3737,MANAGEMENT
29792,259,MN,86616670,297,MANAGEMENT
29793,259,EF,8156723,2857,MANAGEMENT
29794,260,GH,71713226,5247,MANAGEMENT
29795,261,IJ,49824553,2182,MANAGEMENT
29796,261,ST,63415229,371,
29797,263,WX,73582678,6145,MANAGEMENT
29798,264,YZ,19889706,3307,MANAGEMENT
29799,265,EF,28306174,2900,MANAGEMENT
29800,266,WX,96796440,4975,RENTAL
29801,267,KL,4520118,3074,MANAGEMENT
29802,268,OP,4418570,3121,MANAGEMENT
29803,269,QR,7832789,456,MANAGEMENT
29804,269,YZ,55865961,1690,
29805,270,QR,95370232,5462,MANAGEMENT
29806,271,QR,67201065,1535,MANAGEMENT
29807,272,IJ,15116119,7454,MANAGEMENT
29808,273,ST,77701490,1320,RENTAL
29809,273,OP,80156594,5965,MANAGEMENT
29810,273,EF,85742187,178,
29811,273,YZ,15870309,1836,INSURANCE
29812,274,ST,91567790,9886,MANAGEMENT
29813,275,CD,46536463,198,MANAGEMENT
29814,275,UV,60457825,2062,
29815,276,AB,22070646,4471,LOAN
29816,276,EF,80801391,5212,MANAGEMENT
29817,277,ST,67316442,2682,RENTAL
29818,278,IJ,93538832,3362,MANAGEMENT
29819,278,MN,5409831,676,RENTAL
29820,279,EF,46485179,624,MANAGEMENT
29821,279,QR,68556356,1380,
29822,280,KL,10603589,3334,MANAGEMENT
29823,280,UV,1495051,4694,
29824,280,QR,42263525,957,RENTAL
29825,281,CD,31156671,5578,MANAGEMENT
29826,282,GH,6997305,7531,MANAGEMENT
29827,282,AB,4248011,802,
29828,283,OP,9780645,2802,MANAGEMENT
29829,284,EF,34219330,5629,MANAGEMENT
29830,285,UV,52409064,667,RENTAL
29831,286,ST,3664666,9848,MANAGEMENT
29832,287,CD,57389086,772,MANAGEMENT
29833,287,EF,36382317,1572,MANAGEMENT
29834,288,WX,29425543,3257,MANAGEMENT
29835,288,QR,97550320,207,MANAGEMENT
29836,289,AB,78823619,5745,MANAGEMENT
29837,289,OP,72798836,2621,
29838,290,YZ,60961633,2577,LOAN
29839,290,UV,10382223,2653,MANAGEMENT
29840,290,IJ,5267882,3274,
29841,291,YZ,46721518,1942,RENTAL
29842,291,EF,31507086,62,MANAGEMENT
29843,291,YZ,27026367,12925,
29844,292,KL,722319,1986,MANAGEMENT
29845,293,QR,11480212,1636,MANAGEMENT
29846,293,QR,85708903,845,
29847,293,EF,34143477,1366,INSURANCE
29848,294,MN,91239595,5842,MANAGEMENT
29849,294,KL,94949411,145,
29850,294,IJ,58432865,430,INSURANCE
29851,294,UV,58291846,156,
29852,295,AB,78368478,6992,MANAGEMENT
29853,296,AB,63953745,2646,MANAGEMENT
29854,300,YZ,46045607,1628,MANAGEMENT
29855,301,IJ,99728369,1950,MANAGEMENT
29856,302,ST,12600803,3236,MANAGEMENT
29857,303,KL,43664085,3803,MANAGEMENT
29858,303,UV,25709551,3132,LOAN
29859,304,AB,27760046,14367,MANAGEMENT
29860,305,ST,77063089,2953,MANAGEMENT
29861,306,IJ,70354622,3657,MANAGEMENT
29862,308,CD,17178321,1284,RENTAL
29863,309,UV,74396675,1901,LOAN
29865,311,CD,93944477,4777,MANAGEMENT
29866,311,WX,80353498,371,
29867,311,GH,47159934,3375,INSURANCE
29868,311,YZ,37490087,355,
29869,311,YZ,67794364,422,LOAN
29870,312,WX,31189668,7814,MANAGEMENT
29871,313,GH,6982702,2294,MANAGEMENT
29872,314,WX,56231456,2785,LOAN
29873,314,KL,99187093,13691,MANAGEMENT
29874,315,MN,6354302,3509,LOAN
29875,317,QR,93325268,3068,MANAGEMENT
29876,318,GH,74740838,2858,MANAGEMENT
29877,319,GH,41618597,6150,LOAN
29878,319,KL,87909203,1057,MANAGEMENT
29879,319,KL,32717514,2196,
29880,319,AB,559258,416,INSURANCE
29881,321,UV,44067668,1876,MANAGEMENT
29882,322,ST,4537106,6550,MANAGEMENT
29883,323,GH,65761726,3025,MANAGEMENT
29884,324,OP,83596694,1785,MANAGEMENT
29885,324,KL,19554490,284,MANAGEMENT
29886,325,GH,69376104,2741,MANAGEMENT
29887,326,MN,44978225,1881,MANAGEMENT
29888,326,EF,63815659,1567,MANAGEMENT
29889,327,OP,86823993,3252,MANAGEMENT
29890,327,IJ,47999680,3805,
29891,328,OP,10446250,1287,MANAGEMENT
29892,328,GH,3014916,1145,MANAGEMENT
29893,329,GH,73389369,792,MANAGEMENT
29894,329,UV,23747241,3110,
29895,330,OP,23515820,6908,LOAN
29896,331,UV,55443829,3528,MANAGEMENT
29897,332,MN,6061673,2385,MANAGEMENT
29898,333,QR,71807402,1634,MANAGEMENT
29899,333,QR,42206424,72,
29900,333,AB,13184309,292,INSURANCE
29901,334,IJ,5579948,2374,MANAGEMENT
29902,334,MN,37566691,1168,
29903,335,GH,80065911,2697,MANAGEMENT
29904,336,AB,40453487,4067,MANAGEMENT
29905,338,AB,37576079,2252,MANAGEMENT
29906,339,OP,60226070,7801,LOAN
29907,339,WX,52391654,4087,MANAGEMENT
29908,339,IJ,21728092,48,
29909,340,CD,26790029,917,MANAGEMENT
29910,340,YZ,80708729,901,MANAGEMENT
29911,342,KL,44861531,2332,MANAGEMENT
29912,343,QR,15103727,2505,MANAGEMENT
29913,344,WX,47483712,4739,MANAGEMENT
29914,344,CD,77219027,1683,LOAN
29915,345,QR,68522327,8819,MANAGEMENT
29916,346,KL,13685655,7875,MANAGEMENT
29917,347,CD,37914210,7801,LOAN
29918,349,ST,83005469,4660,MANAGEMENT
29919,349,YZ,66345286,3568,LOAN
29920,350,AB,77066629,3791,MANAGEMENT
29921,352,KL,56583434,1992,MANAGEMENT
29922,353,UV,38371622,2687,MANAGEMENT
29923,353,CD,53546470,879,MANAGEMENT
29924,354,UV,38533955,4771,MANAGEMENT
29925,355,WX,5620038,5012,MANAGEMENT
29926,355,GH,28271162,2927,
29927,356,GH,75963014,4188,MANAGEMENT
29928,357,EF,3304052,1788,MANAGEMENT
29929,357,IJ,44572526,280,
29930,358,UV,86354624,532,MANAGEMENT
29931,358,ST,65233623,1434,
29932,358,ST,94764554,27,INSURANCE
29933,358,ST,94047659,73,
29934,359,UV,86209541,3544,MANAGEMENT
29935,361,YZ,95369791,1941,MANAGEMENT
29936,361,ST,59163767,1388,
29937,362,ST,76221531,6001,MANAGEMENT
29938,362,ST,91743081,292,
29939,362,EF,62852764,68,INSURANCE
29940,364,ST,39232927,2221,MANAGEMENT
29941,365,YZ,84520810,1766,RENTAL
29942,365,QR,34196335,11528,MANAGEMENT
29943,365,QR,93025660,1782,
29944,365,UV,12044257,5,INSURANCE
29945,365,UV,89672892,9,
29946,366,IJ,75874721,2442,MANAGEMENT
29947,366,YZ,11380994,1914,
29948,366,QR,29283583,836,INSURANCE
29949,366,ST,68747752,3188,
29950,367,KL,59022962,6384,MANAGEMENT
29951,368,ST,13122338,4381,MANAGEMENT
29952,368,EF,27974027,742,
29953,368,UV,35746020,269,INSURANCE
29954,368,YZ,33245110,217,
29955,368,UV,35739392,1071,RENTAL
29959,370,MN,39040500,215,MANAGEMENT
29960,370,EF,39893967,1188,
29961,370,KL,57786190,672,INSURANCE
29962,372,ST,65089881,7785,MANAGEMENT
29963,372,MN,83496254,2148,
29964,373,OP,55648291,6452,MANAGEMENT
29965,375,KL,32626718,3824,MANAGEMENT
29966,376,IJ,32540393,7097,MANAGEMENT
29967,378,MN,28203147,3840,LOAN
29968,378,KL,6934583,8537,MANAGEMENT
29969,378,AB,85313254,1184,
29970,378,ST,70710897,2,INSURANCE
29971,378,KL,23140502,4,
29972,379,CD,35418421,1561,MANAGEMENT
29973,379,CD,30392295,434,
29974,379,GH,42905002,177,INSURANCE
29975,379,IJ,80296814,312,
29979,382,IJ,24703598,2235,MANAGEMENT
29980,382,OP,26432061,27,
29981,382,MN,87132888,14,INSURANCE
29982,383,EF,90773456,2057,MANAGEMENT
29983,384,MN,48816210,2304,RENTAL
29984,385,WX,28537345,2160,MANAGEMENT
29985,385,ST,91164779,31,
29986,385,GH,79315310,121,INSURANCE
29987,386,CD,39887976,4711,MANAGEMENT
29988,388,CD,48455613,6524,MANAGEMENT
29989,389,KL,8779210,884,MANAGEMENT
29990,389,WX,25948596,3280,
29991,390,YZ,24210876,4977,MANAGEMENT
29992,392,GH,99824958,1407,MANAGEMENT
29993,392,WX,27344715,5663,
29994,393,AB,10808188,302,MANAGEMENT
29995,393,AB,27135431,5920,
30001,395,YZ,55113202,3871,MANAGEMENT
30002,395,GH,73209607,4036,
30003,395,WX,8607322,828,RENTAL
30004,396,UV,71221321,5245,MANAGEMENT
30005,396,GH,26179212,68,
30006,396,OP,57553499,308,INSURANCE
30007,396,YZ,33896279,261,
30008,398,IJ,60894626,1702,MANAGEMENT
30009,399,GH,54855972,3091,RENTAL
30010,399,IJ,47246265,6009,MANAGEMENT
30011,400,WX,99955695,6948,MANAGEMENT
30012,401,AB,66742342,3600,MANAGEMENT
30013,401,EF,88922524,1769,
30014,402,YZ,77129357,2083,MANAGEMENT
30015,402,CD,98438930,2211,
30016,403,KL,15987736,2401,MANAGEMENT
30017,404,GH,68393963,1563,MANAGEMENT
30018,404,WX,36616319,3450,
30019,405,EF,24659914,1339,RENTAL
30020,405,MN,56718403,9632,MANAGEMENT
30021,405,WX,11276412,1497,
30022,405,KL,1622963,3579,INSURANCE
30023,406,UV,36316532,1800,MANAGEMENT
30024,406,KL,28461408,264,
30025,407,WX,90311783,5411,MANAGEMENT
30026,407,EF,32662862,14,
30027,408,QR,62073033,5042,MANAGEMENT
30028,409,QR,11262268,6810,MANAGEMENT
30029,410,WX,85225909,3825,MANAGEMENT
30030,411,QR,15704101,8499,MANAGEMENT
30031,412,WX,35379701,8727,MANAGEMENT
30032,413,CD,49738037,2107,MANAGEMENT
30033,414,AB,96403741,7870,MANAGEMENT
30034,415,OP,64789080,8740,MANAGEMENT
30035,416,ST,30481368,982,MANAGEMENT
30036,416,CD,54040610,987,MANAGEMENT
30037,418,MN,92404669,9316,MANAGEMENT
30038,420,KL,49270671,7192,MANAGEMENT
30039,421,YZ,94967096,5571,MANAGEMENT
30040,423,UV,78170078,1942,MANAGEMENT
30041,424,WX,64132481,4591,MANAGEMENT
30042,425,ST,21181220,2390,MANAGEMENT
30043,425,OP,54766887,806,
30044,425,GH,30106497,64,INSURANCE
30045,426,MN,45444989,4201,LOAN
30046,426,AB,9528249,7497,MANAGEMENT
30047,426,GH,34606760,886,
30048,427,CD,43451237,8166,MANAGEMENT
30049,428,MN,64758032,3987,MANAGEMENT
30050,429,IJ,79427033,5286,MANAGEMENT
30051,431,GH,65853184,6482,MANAGEMENT
30052,431,KL,66201281,715,
30053,434,WX,98904990,5666,MANAGEMENT
30054,434,ST,31071788,1637,
30055,435,MN,75157016,3189,MANAGEMENT
30056,436,WX,36372977,4885,MANAGEMENT
30057,436,IJ,61715274,72,
30058,436,CD,51325714,293,INSURANCE
30059,437,CD,83092337,2248,MANAGEMENT
30060,437,YZ,18505370,3106,
30061,440,QR,84914481,5825,MANAGEMENT
30062,440,GH,78983664,1756,LOAN
30063,441,OP,58999586,4473,RENTAL
30064,441,YZ,91662942,3041,MANAGEMENT
30065,441,WX,11125362,765,
30066,442,EF,55799275,7455,LOAN
30067,442,CD,21739507,5606,MANAGEMENT
30068,442,ST,98938321,2068,
30069,443,KL,39137601,1508,MANAGEMENT
30070,443,IJ,32109809,463,
30071,443,QR,69234090,67,INSURANCE
30072,444,QR,53384882,4469,MANAGEMENT
30073,445,QR,65335863,3998,MANAGEMENT
30074,445,IJ,49652427,7567,
30075,446,EF,81248056,6941,MANAGEMENT
30076,447,GH,35721868,5554,MANAGEMENT
30077,447,ST,99847948,554,RENTAL
30080,449,AB,84388368,164,MANAGEMENT
30081,449,WX,77323555,1789,MANAGEMENT
30082,450,QR,70611452,2404,MANAGEMENT
30083,451,UV,62285023,7208,LOAN
30084,452,OP,27081912,5058,MANAGEMENT
30085,452,OP,33601921,375,
30086,453,QR,23475498,7012,MANAGEMENT
30087,454,GH,80305754,5687,MANAGEMENT
30088,455,ST,60398054,8339,MANAGEMENT
30089,456,WX,12626231,4783,RENTAL
30092,458,AB,65390032,9586,MANAGEMENT
30093,458,CD,51641261,1031,RENTAL
30094,460,MN,57986551,3554,MANAGEMENT
30095,461,OP,30994916,1530,MANAGEMENT
30096,462,ST,32409316,8325,MANAGEMENT
30097,463,QR,88697516,6385,MANAGEMENT
30098,464,UV,4756558,3509,MANAGEMENT
30099,465,ST,3081554,1279,RENTAL
30100,465,IJ,59340989,11126,MANAGEMENT
